segment_number,instrument_emotion,vocal_emotion
0,triumphant,happy
1,triumphant,happy
2,triumphant,happy
3,triumphant,calm
4,triumphant,calm
5,triumphant,calm
6,energizing,happy
7,joyful,calm
8,energizing,happy
9,energizing,calm
10,energizing,sad
11,energizing,calm
12,energizing,calm
13,triumphant,calm
14,energizing,calm
15,energizing,calm
16,energizing,calm
17,energizing,calm
18,energizing,neutral
19,energizing,calm
20,energizing,happy
21,energizing,fearful
22,triumphant,calm
23,energizing,calm
24,energizing,happy
25,triumphant,calm
26,energizing,happy
27,energizing,calm
28,energizing,calm
29,energizing,calm
30,triumphant,calm
31,joyful,calm
32,triumphant,calm
33,triumphant,calm
34,triumphant,calm
35,energizing,fearful
36,energizing,calm
37,energizing,calm
38,energizing,calm
39,energizing,calm
40,energizing,calm
41,energizing,calm
42,energizing,calm
43,energizing,calm
44,triumphant,sad
45,fearful,-
46,fearful,-
