segment_number,instrument_emotion,vocal_emotion
0,beautiful,-
1,calm,-
2,dreamy,sad
3,dreamy,calm
4,dreamy,sad
5,calm,sad
6,dreamy,sad
7,calm,sad
8,dreamy,sad
9,calm,sad
10,dreamy,calm
11,dreamy,calm
12,dreamy,calm
13,dreamy,sad
14,dreamy,calm
15,dreamy,calm
16,dreamy,calm
17,dreamy,calm
18,calm,-
19,triumphant,fearful
20,fearful,calm
21,triumphant,calm
22,fearful,calm
23,fearful,fearful
24,fearful,fearful
25,triumphant,sad
26,fearful,sad
27,triumphant,calm
28,fearful,calm
29,fearful,calm
30,triumphant,calm
31,triumphant,calm
32,dreamy,calm
33,triumphant,calm
34,fearful,calm
35,dreamy,sad
36,calm,fearful
37,calm,-
38,triumphant,sad
39,triumphant,calm
40,triumphant,calm
41,triumphant,sad
42,annoying,calm
43,triumphant,sad
44,triumphant,calm
45,triumphant,sad
46,triumphant,calm
