segment_number,instrument_emotion,vocal_emotion
0,annoying,-
1,indignant,fearful
2,energizing,sad
3,energizing,sad
4,energizing,-
5,energizing,-
6,energizing,angry
7,energizing,fearful
8,energizing,sad
9,energizing,fearful
10,energizing,fearful
11,energizing,sad
12,energizing,fearful
13,energizing,sad
14,energizing,sad
15,energizing,sad
16,energizing,sad
17,energizing,sad
18,energizing,calm
19,energizing,fearful
20,energizing,fearful
21,energizing,fearful
22,energizing,fearful
23,energizing,sad
24,energizing,fearful
25,energizing,sad
26,energizing,sad
27,energizing,sad
28,indignant,sad
29,energizing,sad
30,energizing,sad
31,energizing,-
32,energizing,fearful
33,energizing,fearful
34,energizing,fearful
35,energizing,sad
36,energizing,sad
37,energizing,fearful
38,energizing,fearful
39,energizing,fearful
