segment_number,instrument_emotion,vocal_emotion
0,erotic,-
1,joyful,-
2,joyful,-
3,energizing,-
4,annoying,happy
5,erotic,calm
6,joyful,neutral
7,joyful,sad
8,triumphant,sad
9,dreamy,calm
10,joyful,calm
11,annoying,calm
12,dreamy,sad
13,triumphant,sad
14,triumphant,sad
15,fearful,calm
16,fearful,sad
17,triumphant,sad
18,triumphant,sad
19,triumphant,calm
20,triumphant,sad
21,triumphant,calm
22,triumphant,calm
23,joyful,calm
24,dreamy,fearful
25,energizing,calm
26,erotic,calm
27,energizing,calm
28,energizing,calm
29,annoying,calm
30,joyful,sad
31,triumphant,sad
32,triumphant,calm
33,triumphant,calm
34,energizing,calm
35,triumphant,sad
36,triumphant,sad
37,dreamy,sad
38,triumphant,calm
39,triumphant,sad
40,triumphant,sad
41,joyful,sad
42,triumphant,-
43,dreamy,sad
44,triumphant,calm
45,triumphant,sad
46,triumphant,calm
47,triumphant,sad
48,triumphant,sad
49,triumphant,sad
50,dreamy,-
51,dreamy,-
52,dreamy,-
