segment_number,instrument_emotion,vocal_emotion
0,calm,-
1,calm,sad
2,dreamy,sad
3,calm,sad
4,dreamy,sad
5,dreamy,sad
6,dreamy,sad
7,dreamy,-
8,dreamy,sad
9,dreamy,sad
10,dreamy,calm
11,fearful,calm
12,dreamy,calm
13,fearful,sad
14,dreamy,sad
15,dreamy,calm
16,dreamy,sad
17,calm,-
18,dreamy,fearful
19,calm,sad
20,calm,happy
21,calm,angry
22,dreamy,happy
23,fearful,sad
24,dreamy,happy
25,dreamy,calm
26,dreamy,calm
27,dreamy,calm
28,fearful,sad
29,dreamy,sad
30,dreamy,calm
31,triumphant,calm
32,triumphant,calm
33,fearful,sad
34,triumphant,calm
35,triumphant,calm
36,triumphant,calm
37,triumphant,sad
38,triumphant,sad
39,triumphant,calm
40,triumphant,calm
41,triumphant,calm
42,triumphant,calm
43,annoying,sad
44,calm,calm
