segment_number,instrument_emotion,vocal_emotion
0,annoying,calm
1,annoying,calm
2,amusing,calm
3,dreamy,sad
4,annoying,calm
5,calm,calm
6,annoying,calm
7,triumphant,calm
8,triumphant,calm
9,triumphant,calm
10,triumphant,sad
11,annoying,-
12,annoying,-
13,dreamy,-
14,energizing,sad
15,energizing,-
16,erotic,calm
17,energizing,sad
18,energizing,calm
19,energizing,angry
20,energizing,calm
21,annoying,sad
22,annoying,calm
23,triumphant,calm
24,triumphant,calm
25,dreamy,calm
26,triumphant,calm
27,triumphant,calm
28,triumphant,sad
29,annoying,calm
30,triumphant,calm
31,annoying,-
32,triumphant,-
33,annoying,-
34,triumphant,-
35,annoying,-
