segment_number,instrument_emotion,vocal_emotion
0,erotic,-
1,energizing,-
2,dreamy,neutral
3,calm,happy
4,fearful,happy
5,erotic,calm
6,energizing,calm
7,energizing,calm
8,energizing,sad
9,energizing,calm
10,energizing,calm
11,energizing,sad
12,energizing,happy
13,energizing,calm
14,energizing,happy
15,energizing,calm
16,energizing,fearful
17,energizing,happy
18,energizing,calm
19,annoying,sad
20,energizing,calm
21,energizing,calm
22,energizing,sad
23,energizing,calm
24,energizing,calm
25,energizing,calm
26,energizing,happy
27,energizing,calm
28,energizing,calm
29,energizing,calm
30,energizing,calm
31,triumphant,calm
32,dreamy,calm
33,triumphant,calm
34,triumphant,happy
35,triumphant,calm
36,indignant,calm
37,energizing,neutral
38,energizing,calm
39,energizing,calm
40,energizing,sad
41,energizing,calm
42,triumphant,sad
