segment_number,instrument_emotion,vocal_emotion
0,annoying,-
1,triumphant,-
2,energizing,-
3,indignant,-
4,energizing,-
5,energizing,-
6,energizing,-
7,energizing,-
8,energizing,-
9,energizing,-
10,energizing,angry
11,energizing,angry
12,energizing,angry
13,energizing,happy
14,energizing,angry
15,energizing,sad
16,energizing,angry
17,energizing,angry
18,energizing,fearful
19,energizing,sad
20,energizing,calm
21,energizing,neutral
22,energizing,fearful
23,energizing,angry
24,energizing,angry
25,energizing,angry
26,energizing,sad
27,energizing,sad
28,energizing,calm
29,energizing,-
30,energizing,angry
31,energizing,angry
32,energizing,angry
33,energizing,sad
34,energizing,fearful
35,energizing,sad
36,energizing,sad
37,energizing,calm
38,energizing,sad
39,energizing,-
40,energizing,fearful
41,energizing,neutral
42,energizing,happy
43,energizing,fearful
44,energizing,sad
45,energizing,fearful
46,energizing,-
47,energizing,-
48,energizing,-
